	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	프랜차이저
83	휴게음식점	씨제이씨지브이(주)홍대투썸	서울특별시 마포구 동교동  159번지 8호	씨제이씨지브이 주식회사	126.9228611	37.556793299999995	커피숍	1
84	휴게음식점	낙랑파라	서울특별시 마포구 동교동  148번지 3호  1층		126.9253274	37.559940600000004	커피숍	0
85	휴게음식점	보드스쿨	서울특별시 마포구 서교동  345번지 2호		126.9234324	37.5550055	커피숍	0
86	휴게음식점	오늘은	서울특별시 마포구 서교동  358번지 62호		126.9225639	37.553619	커피숍	0
87	휴게음식점	에이(A)카페	서울특별시 마포구 서교동  379번지 11호  1층		126.91645770000001	37.5523944	커피숍	0
88	휴게음식점	카페디모멘토(cafe demomento)	서울특별시 마포구 서교동  364번지 6호  1층		126.9223356	37.5513976	커피숍	0
89	휴게음식점	투썸플레이스	서울특별시 마포구 동교동  158번지 1호  1층		126.9233386	37.557432	커피숍	1
90	휴게음식점	반지대학 홍대본점	서울특별시 마포구 서교동  407번지 26호  4층		126.92213100000001	37.550517299999996	커피숍	0
91	휴게음식점	테일러커피	서울특별시 마포구 서교동  338번지 1호  2층 일부		126.92482890000001	37.55288720000001	커피숍	0
92	휴게음식점	만다향	서울특별시 마포구 노고산동  49번지 31호	만다향다업 주식회사	126.9331229	37.5560188	전통찻집	0
93	휴게음식점	반지캠퍼스카페	서울특별시 마포구 서교동  345번지 16호  2층		126.9233382	37.554628	커피숍	0
94	휴게음식점	오드리헵번카페서교점	서울특별시 마포구 서교동  475번지 23호  2층		126.911158	37.5553362	커피숍	0
95	휴게음식점	스타벅스커피서교점	서울특별시 마포구 서교동  395번지 166호  1층일부	(주)스타벅스커피코리아	126.9169075	37.5513453	커피숍	1
96	휴게음식점	츄로스토리롯데시네마홍대점	서울특별시 마포구 동교동  166번지 14호  외8필지 롯데시네마 8층 8F001호일부		126.925	37.5572222	커피숍	0
97	휴게음식점	트루커피(TRUE COFFEE)	서울특별시 마포구 서교동  353번지 5호  경남관광빌딩 1일 일부		126.92022549999999	37.5547574	커피숍	0
98	휴게음식점	펭귄마카롱	서울특별시 마포구 서교동  405번지 14호  1층일부		126.920841	37.5505857	커피숍	0
99	휴게음식점	츄로101홍대본점	서울특별시 마포구 서교동  346번지 1호  1층	(주)츄로원오원	126.9242635	37.5556852	커피숍	0
