기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019	종로구	숭인2동	5,739	9,902	4,987	4,915	9,434	4,821	4,613	468	166	302	1.64	1,653
2019	종로구	청운효자동	5,356	12,981	6,076	6,905	12,734	5,939	6,795	247	137	110	2.38	2,202
2019	종로구	혜화동	9,238	20,435	9,292	11,143	16,925	8,153	8,772	3,510	1,139	2,371	1.83	2,628
2019	중구	소계	62,739	136,488	66,823	69,665	126,171	61,910	64,261	10,317	4,913	5,404	2.01	23,275
2019	중구	소공동	1,104	3,059	1,550	1,509	2,050	1,000	1,050	1,009	550	459	1.86	284
2019	중구	회현동	3,142	5,850	3,170	2,680	5,245	2,837	2,408	605	333	272	1.67	1,470
2019	중구	명동	1,532	3,567	1,573	1,994	2,936	1,235	1,701	631	338	293	1.92	750
2019	중구	필동	2,297	5,020	2,478	2,542	3,995	2,058	1,937	1,025	420	605	1.74	820
2019	중구	장충동	2,696	5,628	2,779	2,849	4,708	2,399	2,309	920	380	540	1.75	810
2019	중구	광희동	2,960	6,284	3,299	2,985	4,905	2,600	2,305	1,379	699	680	1.66	1,172
2019	중구	을지로동	1,339	2,007	1,202	805	1,802	1,103	699	205	99	106	1.35	489
2019	중구	신당5동	5,291	10,929	5,339	5,590	10,554	5,173	5,381	375	166	209	1.99	1,690
2019	중구	황학동	6,832	13,689	6,584	7,105	12,650	6,097	6,553	1,039	487	552	1.85	1,912
2019	중구	중림동	5,833	12,942	6,484	6,458	12,622	6,314	6,308	320	170	150	2.16	2,014
2019	중구	신당동	4,419	9,234	4,520	4,714	7,526	3,761	3,765	1,708	759	949	1.7	1,361
2019	중구	다산동	6,961	15,035	7,282	7,753	14,526	7,072	7,454	509	210	299	2.09	2,566
2019	중구	약수동	7,803	17,734	8,369	9,365	17,525	8,260	9,265	209	109	100	2.25	3,598
2019	중구	청구동	6,377	14,515	6,906	7,609	14,297	6,791	7,506	218	115	103	2.24	2,602
2019	중구	동화동	4,153	10,995	5,288	5,707	10,830	5,210	5,620	165	78	87	2.61	1,737
2019	용산구	소계	110,126	245,185	119,599	125,586	228,670	110,356	118,314	16,515	9,243	7,272	2.08	38,791
2019	용산구	후암동	8,576	18,445	8,987	9,458	17,896	8,704	9,192	549	283	266	2.09	3,005
2019	용산구	용산2가동	5,421	11,836	5,807	6,029	10,402	5,036	5,366	1,434	771	663	1.92	2,073
2019	용산구	남영동	5,411	8,412	5,061	3,351	7,771	4,746	3,025	641	315	326	1.44	1,611
2019	용산구	원효로2동	6,006	14,718	6,926	7,792	14,562	6,857	7,705	156	69	87	2.42	2,370
2019	용산구	효창동	4,270	10,300	4,921	5,379	10,178	4,859	5,319	122	62	60	2.38	1,421
2019	용산구	용문동	5,364	12,587	6,026	6,561	12,444	5,960	6,484	143	66	77	2.32	2,023
2019	용산구	이촌1동	10,267	29,255	13,756	15,499	28,342	13,275	15,067	913	481	432	2.76	4,412
2019	용산구	이촌2동	3,855	9,005	4,250	4,755	8,900	4,205	4,695	105	45	60	2.31	1,737
2019	용산구	이태원1동	3,761	9,222	4,842	4,380	6,861	3,233	3,628	2,361	1,609	752	1.82	1,580
2019	용산구	이태원2동	4,875	10,811	5,106	5,705	9,254	4,287	4,967	1,557	819	738	1.9	1,885
2019	용산구	서빙고동	5,269	14,102	6,811	7,291	13,329	6,415	6,914	773	396	377	2.53	2,060
