	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	프랜차이저
73	휴게음식점	라피에르(LAPIERRE)	서울특별시 영등포구 여의도동  1번지  국회후생관 앞		126.9140773	37.529262100000004	커피숍	0
74	휴게음식점	카페자스(여의도점)	서울특별시 영등포구 여의도동  35번지  지상1층 일부		126.92694660000001	37.521919	커피숍	0
75	휴게음식점	스테프핫도그전경련회관점	서울특별시 영등포구 여의도동  28번지 1호  전경련회관 타워동 지하1층 비113호		126.92011529999999	37.522317	커피숍	0
76	휴게음식점	스타벅스커피여의도일신점	서울특별시 영등포구 여의도동  15번지 15호  1층 일부	(주)스타벅스코리아	126.91812549999999	37.52908729999999	커피숍	1
77	휴게음식점	더커피빈앤티리프	서울특별시 영등포구 여의도동  13번지 4호  동우빌딩 1층 일부	(주)커피빈코리아	126.921976	37.529816100000005	커피숍	1
78	휴게음식점	스타벅스커피여의도한양증권점	서울특별시 영등포구 여의도동  34번지 11호  한양증권 1층	주식회사 스타벅스커피코리아	126.92908670000001	37.5223727	커피숍	1
79	휴게음식점	모노레일커피여의도한화증권점	서울특별시 영등포구 여의도동  23번지 5호  한화증권 지하1층 B102호	주식회사 제이지이커피컴퍼니	126.9228726	37.5239641	커피숍	0
80	휴게음식점	공차 여의도역점	서울특별시 영등포구 여의도동  3번지  지하1층	(주)공차코리아	126.92577	37.5218847	커피숍	0
81	휴게음식점	쥬씨(JUICY)	서울특별시 영등포구 여의도동  43번지 1호  유성상가 111호(지상1층)		126.9302272	37.521367600000005	커피숍	0
82	휴게음식점	캐슬힐	서울특별시 영등포구 여의도동  13번지 5호  오성빌딩 308호		126.922226	37.5299272	커피숍	0
83	휴게음식점	봉구스밥버거여의도중앙점	서울특별시 영등포구 여의도동  41번지 1호  대교상가 에이동 118호		126.9330608	37.5232097	커피숍	0
84	휴게음식점	매스커피여의도점	서울특별시 영등포구 여의도동  44번지 21호  중앙빌딩 101호	매스컴퍼니 주식회사	126.930476	37.519151	커피숍	0
85	휴게음식점	커피디엔에이로스팅컴퍼니여의도점	서울특별시 영등포구 여의도동  45번지 5호  대우메종리브르오피스텔 105호 112호		126.9285663	37.519169299999994	커피숍	0
86	휴게음식점	커스텀	서울특별시 영등포구 여의도동  53번지 12호  1층 101호		126.933655	37.5182656	커피숍	0
87	휴게음식점	스타벅스커피여의도알리안츠점	서울특별시 영등포구 여의도동  45번지 21호  알리안츠타워 1층	주식회사 스타벅스커피코리아	126.9278117	37.51878129999999	커피숍	1
88	휴게음식점	3 HUNDRED COFFEE	서울특별시 영등포구 여의도동  25번지 4호  신송빌딩 지하1층 102호		126.9265035	37.5234836	커피숍	0
89	휴게음식점	빽다방서여의도점	서울특별시 영등포구 여의도동  14번지 24호  삼보호정빌딩 1층		126.9196429	37.52917720000001	커피숍	1
90	휴게음식점	(주)이디야 한국수출입은행점	서울특별시 영등포구 여의도동  16번지 1호  1층	(주)이디야	126.9233935	37.52859309999999	커피숍	1
91	휴게음식점	삼백커피오륜점	서울특별시 영등포구 여의도동  36번지 4호  오륜빌딩 110~111호		126.9271425	37.520206200000004	커피숍	0
92	휴게음식점	리얼크레마	서울특별시 영등포구 여의도동  12번지 1호  1층-102		126.92481869999999	37.5299549	커피숍	0
93	휴게음식점	달큼한 하루	서울특별시 영등포구 여의도동  41번지 2호  대교 A상가-111		126.934298	37.5210196	기타 휴게음식점	0
94	휴게음식점	(주)커피빈코리아 여의도신영증권별관점	서울특별시 영등포구 여의도동  34번지 12호	주식회사 커피빈코리아	126.9296842	37.521769	커피숍	1
95	휴게음식점	까페부에노(Cafe Bueno)	서울특별시 영등포구 여의도동  50번지 2호  시범아파트 7동 1층 11호		126.9364093	37.519068	커피숍	0
96	휴게음식점	칼딘커피여의도점	서울특별시 영등포구 여의도동  2번지  1층	신도씨엔아이(주)	126.92232290000001	37.526808200000005	커피숍	0
97	휴게음식점	마키보이	서울특별시 영등포구 여의도동  44번지 14호  경도빌딩 1층-109		126.93141990000001	37.5193175	커피숍	0
98	휴게음식점	모뉴망켄싱턴호텔여의도점	서울특별시 영등포구 여의도동  13번지 3호  (주)이랜드파크 켄싱턴호텔 여의도 1층	(주)이랜드파크	126.921924	37.530201	기타 휴게음식점	0
99	휴게음식점	카페안젤로 여의도성모점	서울특별시 영등포구 여의도동  62번지	(주)미셸푸드	126.936089	37.5179713	커피숍	0
100	휴게음식점	올리버브라운(여의도점)	서울특별시 영등포구 여의도동  25번지 3호  동화빌딩-101	주식회사 올리버브라운코리아	126.9269202	37.5237336	커피숍	0
101	휴게음식점	그리다꿈(여의도이마트점)	서울특별시 영등포구 여의도동  47번지  자이아파트상가동 1층-102		126.9261297	37.518137100000004	커피숍	0
102	휴게음식점	젤라리소(Gelariso)여의도수정점	서울특별시 영등포구 여의도동  32번지 1호  수정상가 1층 107호		126.93118929999999	37.522523299999996	커피숍	0
103	휴게음식점	그레이에스프레소(GREY ESPRESSO)	서울특별시 영등포구 여의도동  44번지 35호  제일빌딩 1층-112		126.9309136	37.5190914	커피숍	0
104	휴게음식점	도노커피(국회의사당점)	서울특별시 영등포구 여의도동  1번지  1층	(주)도노	126.92016880000001	37.5300273	커피숍	0
