	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명
139	휴게음식점	블랙바리스타	서울특별시 마포구 동교동  170번지 29호  1층		126.92632	37.5569456	커피숍
140	휴게음식점	컴바이코리아	서울특별시 마포구 동교동  165번지 8호  LG팰리스빌딩-106	(주)컴바이코리아	126.9234453	37.5560805	커피숍
141	휴게음식점	스퀴즈빌리지	서울특별시 마포구 서교동  486번지 101 서교푸르지오  1층-137		126.9236241	37.553716	커피숍
142	휴게음식점	반지더하기홍대점	서울특별시 마포구 서교동  333번지 7호  2층일부		126.9261585	37.5547933	커피숍
143	휴게음식점	나른한순간 Idle moments	서울특별시 마포구 서교동  467번지 2호  2층일부(1호)		126.9153209	37.5550889	커피숍
144	휴게음식점	씨제이씨지브이(주)홍대투썸	서울특별시 마포구 동교동  159번지 8호	씨제이씨지브이 주식회사	126.9228611	37.5567933	커피숍
145	휴게음식점	씨제이씨지브이(주)홍대투썸	서울특별시 마포구 동교동  159번지 8호	씨제이씨지브이 주식회사	126.9228611	37.5567933	커피숍
146	휴게음식점	낙랑파라	서울특별시 마포구 동교동  148번지 3호  1층		126.9253274	37.5599406	커피숍
147	휴게음식점	쓰리팝	서울특별시 마포구 동교동  162번지 4호  지하1층		126.922095	37.5549797	커피숍
148	휴게음식점	쓰리팝	서울특별시 마포구 동교동  162번지 4호  지하1층		126.922095	37.5549797	커피숍
149	휴게음식점	보드스쿨	서울특별시 마포구 서교동  345번지 2호		126.9234324	37.5550055	커피숍
150	휴게음식점	오늘은	서울특별시 마포구 서교동  358번지 62호		126.9225639	37.553619	커피숍
151	휴게음식점	오늘은	서울특별시 마포구 서교동  358번지 62호		126.9225639	37.553619	커피숍
152	휴게음식점	에이(A)카페	서울특별시 마포구 서교동  379번지 11호  1층		126.9164577	37.5523944	커피숍
153	휴게음식점	커피나무	서울특별시 마포구 서교동  343번지 2호  1층일부		126.925688	37.553433	커피숍
154	휴게음식점	카페디모멘토(cafe demomento)	서울특별시 마포구 서교동  364번지 6호  1층		126.9223356	37.5513976	커피숍
155	휴게음식점	반지만들기홍대점	서울특별시 마포구 서교동  358번지 29호  -302		126.9231056	37.5524679	커피숍
156	휴게음식점	투썸플레이스	서울특별시 마포구 동교동  158번지 1호  1층		126.9233386	37.557432	커피숍
157	휴게음식점	반지대학 홍대본점	서울특별시 마포구 서교동  407번지 26호  4층		126.922131	37.5505173	커피숍
158	휴게음식점	테일러커피	서울특별시 마포구 서교동  338번지 1호  2층 일부		126.9248289	37.55288720000001	커피숍
159	휴게음식점	만다향	서울특별시 마포구 노고산동  49번지 31호	만다향다업 주식회사	126.9331229	37.5560188	전통찻집
160	휴게음식점	리우스티하우스(LIU'S TEA HOUSE)	서울특별시 마포구 서교동  332번지 20호  1층일부(102호)		126.9265367	37.5560429	커피숍
161	휴게음식점	반지캠퍼스카페	서울특별시 마포구 서교동  345번지 16호  2층		126.9233382	37.554628	커피숍
162	휴게음식점	오드리헵번카페서교점	서울특별시 마포구 서교동  475번지 23호  2층		126.911158	37.5553362	커피숍
163	휴게음식점	카페드롬 서교점	서울특별시 마포구 서교동  475번지 23호  2층		126.911158	37.5553362	커피숍
