	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명	index
118	휴게음식점	주스솔루션여의도IFC몰점	서울특별시 영등포구 여의도동  23번지  아이에프씨몰 지하3층	씨제이푸드빌주식회사	126.9252845	37.5249367	커피숍	118
119	휴게음식점	(주)앤해피여의도점	서울특별시 영등포구 여의도동  46번지  KBS별관 로비	(주)글러브엔터테인먼트	126.9296448	37.5185147	커피숍	119
120	휴게음식점	카페말로여의3호점	서울특별시 영등포구 여의도동  34번지  1층일부	주식회사 아이씨엔풀서비스	126.928844	37.5221362	커피숍	120
121	휴게음식점	스타벅스커피여의도IFC	서울특별시 영등포구 여의도동  23번지  투 아이에프씨동 1층-101	주식회사 스타벅스커피코리아	126.9252845	37.5249367	커피숍	121
122	휴게음식점	스타벅스커피여의도IFC	서울특별시 영등포구 여의도동  23번지  투 아이에프씨동 1층-101	(주)스타벅스커피코리아	126.9252845	37.5249367	커피숍	122
123	휴게음식점	지니커피(Geni coffee)	서울특별시 영등포구 여의도동  36번지  롯데캐슬엠파이어 상가 B-017 호 일부		126.9263648	37.5202062	커피숍	123
124	휴게음식점	씨앤아이(C&I)	서울특별시 영등포구 여의도동  44번지 12호  고려빌딩-105		126.9311143	37.5195119	커피숍	124
125	휴게음식점	카페콩냥(CAFE콩냥)	서울특별시 영등포구 여의도동  30번지 3호  여의도쇼핑센터 상가호 1층		126.9326803	37.52958080000001	커피숍	125
126	휴게음식점	카페콩냥(CAFE콩냥)	서울특별시 영등포구 여의도동  30번지 3호  여의도쇼핑센터 상가호 1층		126.9326803	37.52958080000001	커피숍	126
127	휴게음식점	클라우드카페CLOUD CAFE	서울특별시 영등포구 여의도동  45번지 1호  SK증권빌딩 14층	주식회사 애니원에프앤씨	126.9279114	37.5198765	커피숍	127
128	휴게음식점	카페파스쿠치	서울특별시 영등포구 여의도동  14번지 15호  안원빌딩 1층	주식회사 인클러썸	126.9213928	37.5285662	커피숍	128
129	휴게음식점	투썸플레이스	서울특별시 영등포구 여의도동  24번지  한주빌딩 1층 북동측 일부		126.9268368	37.5246223	커피숍	129
130	휴게음식점	티타임	서울특별시 영등포구 여의도동  18번지  KBS신관 1층일부	주식회사 엘에스씨푸드	126.9164678	37.52561430000001	커피숍	130
131	휴게음식점	카페제이비블루(Cafe JB blue)	서울특별시 영등포구 여의도동  24번지 4호  JB우리캐피탈빌딩 1층	제이비식품(주)	126.9273718	37.5240619	커피숍	131
132	휴게음식점	카페제이비블루(Cafe JB blue)	서울특별시 영등포구 여의도동  24번지 4호  JB우리캐피탈빌딩 1층	제이비식품(주)	126.9273718	37.5240619	커피숍	132
133	휴게음식점	카페제이비블루(Cafe JB blue)	서울특별시 영등포구 여의도동  24번지 4호  JB우리캐피탈빌딩 1층	제이비식품 (주)	126.9273718	37.5240619	커피숍	133
134	휴게음식점	카페제이비블루(Cafe JB blue)	서울특별시 영등포구 여의도동  24번지 4호  JB우리캐피탈빌딩 1층	제이비식품 (주)	126.9273718	37.5240619	커피숍	134
135	휴게음식점	그릴드치즈	서울특별시 영등포구 여의도동  53번지 2호  행진빌딩 별관2층 202호		126.9329599	37.5189405	커피숍	135
136	휴게음식점	라피에르(LAPIERRE)	서울특별시 영등포구 여의도동  1번지  국회후생관 앞		126.9140773	37.5292621	커피숍	136
137	휴게음식점	보이누리(대주)	서울특별시 영등포구 여의도동  35번지 2호  백상빌딩 405호 일부		126.9265314	37.521706	기타 휴게음식점	137
138	휴게음식점	카페그랑NH투자증권점	서울특별시 영등포구 여의도동  23번지 4호  우리투자증권 지하1층(일부)	(주)아워홈	126.9252845	37.5249367	커피숍	138
139	휴게음식점	카페그랑NH투자증권점	서울특별시 영등포구 여의도동  23번지 4호  우리투자증권 지하1층(일부)	(주)아워홈	126.9252845	37.5249367	커피숍	139
140	휴게음식점	원더함박	서울특별시 영등포구 여의도동  61번지 3호  라이프오피스텔 지하1층 42호43호		126.9264939	37.52351240000001	커피숍	140
141	휴게음식점	카페자스(여의도점)	서울특별시 영등포구 여의도동  35번지  지상1층 일부		126.9269466	37.521919	커피숍	141
142	휴게음식점	(주)보나비아티제여의도KBS별관점	서울특별시 영등포구 여의도동  44번지 11호  KBS별관 1층 일부	주식회사 보나비	126.9296466	37.5209893	커피숍	142
143	휴게음식점	(주)보나비아티제여의도KBS별관점	서울특별시 영등포구 여의도동  44번지 11호  KBS별관 1층 일부	(주)보나비	126.9296466	37.5209893	커피숍	143
144	휴게음식점	더커피빈카페엔샌드위치(The coffeebean cafe&sandwich)	서울특별시 영등포구 여의도동  26번지 4호  교보증권빌딩 2층 일부	주식회사 커피빈코리아	126.9245871	37.5224837	커피숍	144
145	휴게음식점	스테프핫도그전경련회관점	서울특별시 영등포구 여의도동  28번지 1호  전경련회관 타워동 지하1층 비113호		126.9201153	37.522317	커피숍	145
146	휴게음식점	스테프핫도그전경련회관점	서울특별시 영등포구 여의도동  28번지 1호  전경련회관 타워동 지하1층 비113호	(주)스테프코리아	126.9201153	37.522317	커피숍	146
147	휴게음식점	스타벅스커피여의도일신점	서울특별시 영등포구 여의도동  15번지 15호  1층 일부	(주)스타벅스코리아	126.9181255	37.5290873	커피숍	147
148	휴게음식점	스타벅스커피여의도일신점	서울특별시 영등포구 여의도동  15번지 15호  1층 일부	(주)스타벅스커피코리아	126.9181255	37.5290873	커피숍	148
149	휴게음식점	더커피빈앤티리프	서울특별시 영등포구 여의도동  13번지 4호  동우빌딩 1층 일부	(주)커피빈코리아	126.921976	37.5298161	커피숍	149
150	휴게음식점	두다트전경련점	서울특별시 영등포구 여의도동  28번지 1호  전경련신축회관 B101호		126.9201153	37.522317	커피숍	150
151	휴게음식점	스타벅스커피여의도한양증권점	서울특별시 영등포구 여의도동  34번지 11호  한양증권 1층	주식회사 스타벅스커피코리아	126.9290867	37.5223727	커피숍	151
152	휴게음식점	스타벅스커피여의도한양증권점	서울특별시 영등포구 여의도동  34번지 11호  한양증권 1층	(주)스타벅스커피코리아	126.9290867	37.5223727	커피숍	152
153	휴게음식점	모노치즈	서울특별시 영등포구 여의도동  13번지 25호  정우빌딩 지상1층 120호		126.921865	37.5290106	커피숍	153
154	휴게음식점	모노레일커피여의도한화증권점	서울특별시 영등포구 여의도동  23번지 5호  한화증권 지하1층 B102호	주식회사 제이지이커피컴퍼니	126.9228726	37.5239641	커피숍	154
155	휴게음식점	공차 여의도역점	서울특별시 영등포구 여의도동  3번지  지하1층	(주)공차코리아	126.92577	37.5218847	커피숍	155
156	휴게음식점	여의디지털도서관	서울특별시 영등포구 여의도동  28번지 1호  전경련회관 주민복리시설동 지상1층	재단법인 영등포문화재단	126.9201153	37.522317	커피숍	156
157	휴게음식점	여의디지털도서관	서울특별시 영등포구 여의도동  28번지 1호  전경련회관 주민복리시설동 지상1층	재단법인영등포문화재단	126.9201153	37.522317	커피숍	157
158	휴게음식점	쥬씨(JUICY)	서울특별시 영등포구 여의도동  43번지 1호  유성상가 111호(지상1층)		126.9302272	37.5213676	커피숍	158
159	휴게음식점	씨티커피	서울특별시 영등포구 여의도동  44번지 23호  지상1층122호		126.9296466	37.5209893	커피숍	159
160	휴게음식점	씨티커피	서울특별시 영등포구 여의도동  44번지 23호  지상1층122호		126.9296466	37.5209893	커피숍	160
161	휴게음식점	커피사이언스	서울특별시 영등포구 여의도동  44번지 23호  지상1층122호		126.9296466	37.5209893	커피숍	161
162	휴게음식점	커피사이언스	서울특별시 영등포구 여의도동  44번지 23호  지상1층122호		126.9296466	37.5209893	커피숍	162
163	휴게음식점	커피사이언스(송주빈커피)	서울특별시 영등포구 여의도동  44번지 23호  지상1층122호		126.9296466	37.5209893	커피숍	163
164	휴게음식점	커피사이언스(송주빈커피)	서울특별시 영등포구 여의도동  44번지 23호  지상1층122호		126.9296466	37.5209893	커피숍	164
165	휴게음식점	캐슬힐	서울특별시 영등포구 여의도동  13번지 5호  오성빌딩 308호		126.922226	37.5299272	커피숍	165
166	휴게음식점	더카페엔여의도백화점점	서울특별시 영등포구 여의도동  36번지 2호  여의도백화점내 제지하1층 26호		126.9268688	37.5206978	커피숍	166
167	휴게음식점	러쉬(Rush)	서울특별시 영등포구 여의도동  37번지  아일렉스상가 1층 119호		126.9240116	37.5210236	커피숍	167
168	휴게음식점	봉구스밥버거여의도중앙점	서울특별시 영등포구 여의도동  41번지 1호  대교상가 에이동 118호		126.9330608	37.5232097	커피숍	168
169	휴게음식점	아마스빈여의도2호점	서울특별시 영등포구 여의도동  35번지 2호  백상빌딩 103호		126.9265314	37.521706	커피숍	169
170	휴게음식점	후르츠젤라떼리아63점	서울특별시 영등포구 여의도동  60번지  63한화생명빌딩 지하1층		126.9398326	37.5194647	기타 휴게음식점	170
171	휴게음식점	여의도KBS오가다	서울특별시 영등포구 여의도동  18번지  한국방송공사 본관 지상1층		126.916774	37.5245956	커피숍	171
172	휴게음식점	매스커피여의도점	서울특별시 영등포구 여의도동  44번지 21호  중앙빌딩 101호	매스컴퍼니 주식회사	126.930476	37.519151	커피숍	172
173	휴게음식점	퓨엘앳센티넬IFC(Fuel at sentinel IFC)	서울특별시 영등포구 여의도동  23번지  금융센터 ONE IFC동 3층	주식회사 또리미티드	126.9252845	37.5249367	커피숍	173
174	휴게음식점	커피기업	서울특별시 영등포구 여의도동  13번지 25호  정우빌딩 제1층 제113호		126.921865	37.5290106	커피숍	174
175	휴게음식점	스미스바니스페셜티커피	서울특별시 영등포구 여의도동  43번지 4호  롯데캐슬아이비 상가 지하층 B104호	펩코코리아 주식회사	126.9318875	37.5200722	커피숍	175
176	휴게음식점	커피디엔에이로스팅컴퍼니여의도점	서울특별시 영등포구 여의도동  45번지 5호  대우메종리브르오피스텔 105호 112호		126.9285663	37.5191693	커피숍	176
177	휴게음식점	더카페엔여의도백화점점	서울특별시 영등포구 여의도동  36번지 2호  여의도백화점 내 제지하1층 32-비호		126.9268688	37.5206978	커피숍	177
178	휴게음식점	커스텀	서울특별시 영등포구 여의도동  53번지 12호  1층 101호		126.933655	37.5182656	커피숍	178
179	휴게음식점	스타벅스커피여의도알리안츠점	서울특별시 영등포구 여의도동  45번지 21호  알리안츠타워 1층	주식회사 스타벅스커피코리아	126.9278117	37.5187813	커피숍	179
180	휴게음식점	스타벅스커피여의도알리안츠점	서울특별시 영등포구 여의도동  45번지 21호  알리안츠타워 1층	(주)스타벅스커피코리아	126.9278117	37.5187813	커피숍	180
181	휴게음식점	스타벅스커피여의도ABL타워점	서울특별시 영등포구 여의도동  45번지 21호  알리안츠타워 1층	주식회사 스타벅스커피코리아	126.9278117	37.5187813	커피숍	181
182	휴게음식점	스타벅스커피여의도ABL타워점	서울특별시 영등포구 여의도동  45번지 21호  알리안츠타워 1층	(주)스타벅스커피코리아	126.9278117	37.5187813	커피숍	182
183	휴게음식점	3 HUNDRED COFFEE	서울특별시 영등포구 여의도동  25번지 4호  신송빌딩 지하1층 102호		126.9265035	37.5234836	커피숍	183
184	휴게음식점	빽다방서여의도점	서울특별시 영등포구 여의도동  14번지 24호  삼보호정빌딩 1층		126.9196429	37.5291772	커피숍	184
185	휴게음식점	(주)이디야 한국수출입은행점	서울특별시 영등포구 여의도동  16번지 1호  1층	(주)이디야	126.9233935	37.52859309999999	커피숍	185
186	휴게음식점	삼백커피오륜점	서울특별시 영등포구 여의도동  36번지 4호  오륜빌딩 110~111호		126.9271425	37.5202062	커피숍	186
187	휴게음식점	스타벅스커피 동여의도점	서울특별시 영등포구 여의도동  43번지 4호  롯데캐슬아이비 1층 제122호	주식회사 스타벅스커피코리아	126.9318875	37.5200722	커피숍	187
188	휴게음식점	스타벅스커피 동여의도점	서울특별시 영등포구 여의도동  43번지 4호  롯데캐슬아이비 1층 제122호	(주)스타벅스커피코리아	126.9318875	37.5200722	커피숍	188
189	휴게음식점	콩자루	서울특별시 영등포구 여의도동  21번지 4호  공작상가 112호		126.9307571	37.52601629999999	커피숍	189
190	휴게음식점	리얼크레마	서울특별시 영등포구 여의도동  12번지 1호  1층-102		126.9248187	37.5299549	커피숍	190
191	휴게음식점	달큼한 하루	서울특별시 영등포구 여의도동  41번지 2호  대교 A상가-111		126.934298	37.5210196	기타 휴게음식점	191
192	휴게음식점	(주)커피빈코리아 여의도신영증권별관점	서울특별시 영등포구 여의도동  34번지 12호	주식회사 커피빈코리아	126.9296842	37.521769	커피숍	192
193	휴게음식점	까페부에노(Cafe Bueno)	서울특별시 영등포구 여의도동  50번지 2호  시범아파트 7동 1층 11호		126.9364093	37.519068	커피숍	193
194	휴게음식점	팩토리커피	서울특별시 영등포구 여의도동  17번지 7호  9층		126.9186176	37.5256409	커피숍	194
195	휴게음식점	팩토리커피	서울특별시 영등포구 여의도동  17번지 7호  9층		126.9186176	37.5256409	커피숍	195
196	휴게음식점	(주)보나비아티제여의도롯데캐슬점	서울특별시 영등포구 여의도동  36번지  1층	(주)보나비	126.9263986	37.5201371	커피숍	196
197	휴게음식점	(주)보나비아티제여의도롯데캐슬점	서울특별시 영등포구 여의도동  36번지  1층	(주)보나비	126.9263986	37.5201371	커피숍	197
198	휴게음식점	오가다여의도엘지트윈타워점	서울특별시 영등포구 여의도동  20번지  엘지트윈타워 지하1층		126.9292856	37.5279663	커피숍	198
199	휴게음식점	오가다여의도엘지트윈타워점	서울특별시 영등포구 여의도동  20번지  엘지트윈타워 지하1층		126.9292856	37.5279663	커피숍	199
200	휴게음식점	칼딘커피여의도점	서울특별시 영등포구 여의도동  2번지  1층	신도씨엔아이(주)	126.9223229	37.5268082	커피숍	200
201	휴게음식점	메리주스	서울특별시 영등포구 여의도동  61번지 3호  라이프오피스텔 지하상가 지하1층 20212425호		126.9264939	37.52351240000001	커피숍	201
202	휴게음식점	마키보이	서울특별시 영등포구 여의도동  44번지 14호  경도빌딩 1층-109		126.9314199	37.5193175	커피숍	202
203	휴게음식점	마이도시국민전산	서울특별시 영등포구 여의도동  15번지 22호  국민은행여의도전산센터 동관 1층	(주)이씨엠디	126.9277466	37.5210131	커피숍	203
204	휴게음식점	마이도시국민전산	서울특별시 영등포구 여의도동  15번지 22호  국민은행여의도전산센터 동관 1층	(주)풀무원푸드앤컬처	126.9277466	37.5210131	커피숍	204
